,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No Service,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1175,0,0,0,0,-0.789014402832517,1,1,1,0,0,0,0,0,1,0.5078620656262139,-0.5513327431635188,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5046,0,0,0,0,-1.2781075151991979,1,0,0,0,0,0,0,0,0,-0.6484632517948828,-0.9849788398840755,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1747,0,0,1,1,-1.1965919964714178,1,1,0,0,0,0,0,1,1,0.6654673814870521,-0.8881773285555791,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6350,1,0,0,1,-1.1965919964714178,1,0,1,1,1,1,1,1,1,-1.4812829208700486,-0.9716284266239326,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5154,0,0,1,1,-0.6259833653769568,1,1,1,0,1,0,1,1,1,1.3108196748540633,-0.23667275538361052,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6422,1,0,0,0,0.8005382123591958,1,0,1,0,1,0,0,0,0,-0.3631146799205232,0.22470959594836587,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6646,1,0,1,1,0.7597804529953057,1,0,1,1,1,1,1,1,0,-1.5028499640931108,-0.5652559464315228,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5476,0,1,0,0,-1.1150764777436375,1,0,0,0,1,0,1,0,1,0.6687853881367538,-0.821777748413547,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3454,0,1,1,1,-0.13689025301027588,0,0,0,1,1,0,0,0,1,-0.9636738835165591,-0.5531832954966078,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4959,0,0,1,1,-1.2781075151991979,1,0,1,1,1,1,1,1,1,-1.4779649142203468,-0.9959940323429396,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2083,0,0,0,0,-1.2781075151991979,1,0,1,1,1,1,1,1,1,-1.4779649142203468,-0.9959940323429396,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2404,0,0,1,1,0.39296061872029503,1,1,1,1,0,0,1,0,1,0.9873140265081323,0.7239842093388343,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5705,1,0,0,0,-1.2781075151991979,1,0,1,1,1,1,1,1,0,-1.494554947468856,-0.9962143361921169,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4462,0,0,0,0,-0.6667411247408468,1,1,0,0,1,0,0,1,1,0.7882336275260209,-0.3782840696347658,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4157,1,0,0,0,-0.8705299215602972,1,0,0,0,0,0,0,0,0,-0.6468042484700318,-0.788093289874341,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5934,0,1,1,0,-0.2591635311019461,1,1,0,1,1,0,0,1,1,0.9674059866099208,0.044456986551515865,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6272,1,0,0,1,0.8820537310869759,1,0,0,1,1,1,0,0,1,-0.12255919781713863,0.4416648266181507,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2570,1,0,1,0,-0.09613249364638582,1,1,0,0,0,0,1,1,1,0.9740419999093246,0.2581076594836413,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3779,1,1,1,1,1.3711468434536567,1,1,1,1,1,1,1,0,0,0.48795402572800306,1.2662841644736256,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3540,0,0,1,1,1.615693399636997,1,0,1,1,1,1,1,1,1,1.458470970765796,2.3994170127169623,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5893,1,0,1,1,-0.8297721621964071,1,1,1,1,1,1,1,1,1,-1.3502216582068254,-0.8860624116034771,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
208,0,0,0,0,-0.5444678466491766,1,0,1,0,1,1,1,1,1,1.3904518344469075,-0.15253871538280747,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1433,1,0,1,0,-0.9520454402880774,1,0,1,1,0,1,1,0,1,0.141222330834159,-0.7432173957969291,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6670,0,0,1,1,-1.318865274563088,1,1,0,1,1,1,1,0,0,0.28721462342104037,-1.004872277464784,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4412,1,0,0,0,1.3711468434536567,1,1,1,1,1,1,1,1,0,-1.3021105617861484,-0.25621370680563516,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
620,1,1,1,1,-0.9112876809241872,0,0,0,0,0,0,0,1,1,-1.0001719566632796,-0.8451079260414209,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
4979,0,0,1,1,0.963569249814756,1,1,1,1,1,1,1,1,1,-1.335290628283167,-0.3942560987001185,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1511,0,0,1,1,1.4119046028175468,1,0,1,1,1,1,1,1,1,-1.5078269740676635,-0.39996196839381,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6624,1,0,1,1,1.2896313247258766,0,0,1,0,1,1,1,1,1,-0.15408026098930636,0.6894625961727545,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3181,0,0,1,0,1.2896313247258766,1,1,1,1,1,1,0,1,1,0.550996152072338,1.255136789705255,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5304,1,1,1,0,-0.789014402832517,1,0,0,0,0,0,0,0,0,0.19099243057968684,-0.630752280791928,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
478,1,0,0,0,-1.1150764777436375,1,0,0,0,0,1,1,1,1,1.0420611362282126,-0.8051007470308269,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3290,0,0,0,0,-1.1558342371075276,0,0,1,0,1,0,0,0,0,-0.9852409267396212,-0.9450597824131526,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1979,0,0,1,1,0.5152338968119653,1,0,1,1,1,1,1,1,1,-1.4829419241948996,-0.614317613643303,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5657,1,0,1,0,-0.5852256060130667,1,1,0,0,0,0,1,1,1,0.9972680464572378,-0.2594081126187057,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3960,0,0,0,0,-1.1965919964714178,1,0,0,0,1,0,1,0,0,-0.23703042723185275,-0.9337361645654405,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5738,1,0,0,0,-1.2781075151991979,1,0,1,1,1,1,1,1,0,-1.4630338842966883,-0.9957957588786801,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3955,1,0,1,0,-0.13689025301027588,0,0,0,0,0,0,1,1,1,-0.6235782019221189,-0.41780658017716965,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1108,0,0,0,0,1.4934201215453269,1,1,1,1,1,1,1,1,0,-1.3303136183086142,-0.2655105292409164,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5748,0,0,0,0,-0.46295232792139646,1,1,0,1,0,0,1,1,1,1.1664863855920322,-0.12693940810840765,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
286,0,0,0,0,-0.5037100872852865,1,0,0,0,0,0,0,0,1,-0.6750073049924976,-0.5963628499353546,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
550,1,0,1,1,1.615693399636997,1,1,1,1,1,0,1,1,1,1.5132180804858761,2.505405194556151,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4970,1,0,0,0,-1.0335609590158574,0,0,0,0,0,0,0,0,1,-1.3386086349328687,-0.9384066061679988,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6564,1,0,0,0,-1.1150764777436375,1,0,1,1,1,1,1,1,0,-1.4812829208700486,-0.9627722118870058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4355,0,0,1,0,-1.0743187183797476,1,1,0,0,0,0,0,0,0,-0.47592690601038623,-0.8662791259473575,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5271,1,0,0,1,-0.789014402832517,1,0,0,0,0,0,1,1,0,0.056613161266761775,-0.6383968243583796,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6230,0,0,1,1,-1.2781075151991979,1,0,1,1,1,1,1,1,0,-1.4812829208700486,-0.9960380931127749,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1934,0,0,0,0,-1.1965919964714178,1,0,1,1,0,0,0,0,1,0.4780000057788971,-0.8962624798203852,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5227,1,0,0,0,-1.0335609590158574,1,1,0,0,0,0,1,1,0,1.0453791428779147,-0.7230155328273726,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5397,1,0,0,0,-1.0743187183797476,1,0,0,1,0,0,1,0,1,0.6687853881367538,-0.7742141473761723,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4564,1,0,0,0,-1.2781075151991979,1,0,1,1,1,1,1,1,0,-1.4829419241948996,-0.9960601234976928,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
401,0,0,0,0,-0.8705299215602972,1,0,1,1,1,1,1,1,0,-1.4812829208700486,-0.9001398275659053,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4140,0,0,0,0,1.2488735653619865,1,1,0,1,0,0,1,1,0,1.1681453889168836,1.699137167337144,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
747,0,1,0,0,-1.1965919964714178,1,0,0,0,1,0,0,0,0,0.343620736465972,-0.9154729754686439,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5836,1,0,0,0,-1.0743187183797476,1,0,1,1,1,1,1,1,0,-1.5111449807173654,-0.9500606797894767,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
41,0,0,1,1,1.534177880909217,1,1,1,1,0,0,1,0,1,0.14951734745841364,1.1419226416130512,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1643,1,0,1,0,0.18917182190084467,1,0,0,0,1,1,0,1,1,0.8512757538703559,0.5016976255189594,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5743,0,1,0,0,0.22992958126473476,1,0,1,1,1,1,1,1,0,-1.4763059108954957,-0.680629072245664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4299,0,1,0,0,-0.13689025301027588,1,1,1,1,0,0,0,0,1,-0.2038503607348342,-0.24748967437821492,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5201,1,0,0,0,-0.9520454402880774,1,0,1,1,1,1,1,1,1,-1.4862599308446014,-0.9323482503156236,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1009,1,1,1,0,-0.38143680919361633,1,0,1,1,1,1,1,1,1,-1.4580568743221356,-0.7910894222231519,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5711,0,1,1,0,-0.5037100872852865,1,1,0,0,1,0,1,0,0,0.8662067837940143,-0.14524665797503955,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4196,0,0,1,1,1.534177880909217,1,1,1,1,1,1,1,1,0,-1.3485626548819745,-0.22730984179357613,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
737,1,0,1,0,1.534177880909217,1,0,1,1,1,1,0,1,0,1.2046434620636037,2.1170535692264427,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1022,0,1,0,0,-1.1150764777436375,1,0,0,1,0,0,1,0,1,0.6638083781622013,-0.8319337558606196,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4002,1,0,1,1,1.615693399636997,1,1,1,1,1,1,1,0,1,0.5360651221486795,1.5186862844760343,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6940,0,0,1,1,1.615693399636997,0,0,1,1,1,1,0,1,0,-0.30007255357618795,0.7047076225358223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6029,1,0,0,0,-1.1558342371075276,1,0,1,1,0,1,0,1,1,1.0022450564317906,-0.8460111718230477,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5112,0,0,0,0,-1.0335609590158574,1,0,1,1,1,1,1,1,0,-1.4812829208700486,-0.932238098391035,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5021,0,0,1,1,-0.38143680919361633,1,1,1,0,0,0,0,0,0,0.5692451886456982,-0.20699782689943103,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2882,0,0,0,0,-0.8705299215602972,1,0,0,0,0,0,1,1,1,0.0068430615212339355,-0.6893531046730844,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5026,1,0,1,1,-0.38143680919361633,1,0,1,1,1,1,1,1,1,-1.4829419241948996,-0.8086696693874988,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1755,0,0,0,0,-0.8297721621964071,1,0,0,1,0,1,0,0,1,-0.3448656433471631,-0.7164945388917251,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5316,1,0,1,1,0.6782649342675255,1,1,0,1,1,0,1,0,1,0.9607699733105175,0.9867406102525753,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5984,1,0,1,0,-0.748256643468627,1,1,0,0,0,0,0,1,1,0.6787394080858598,-0.5029319874992705,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4239,1,0,1,1,0.963569249814756,0,0,0,1,1,0,0,0,1,-0.9487428535929007,-0.1362142001587711,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6258,0,0,1,0,-1.1965919964714178,1,0,1,1,1,1,1,1,1,-1.4862599308446014,-0.9847144752650628,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2045,0,0,0,0,1.4934201215453269,1,1,0,1,1,1,1,1,1,1.51985409378528,2.280056387232712,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1550,1,1,1,0,-1.0743187183797476,1,1,0,0,1,0,0,0,1,0.5344061188238287,-0.8034704985469151,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4362,0,0,1,0,0.6782649342675255,1,0,1,1,1,1,1,1,0,-1.4597158776469865,-0.5501431023779615,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3438,1,0,1,0,-0.5852256060130667,1,1,0,0,0,0,1,1,1,0.9956090431323869,-0.26114851302720626,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2517,1,1,0,0,-1.2781075151991979,1,0,0,0,0,0,0,0,1,0.1594713674075191,-0.9742500424291421,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3905,0,0,0,0,-1.1965919964714178,0,0,0,0,0,0,1,0,0,-0.9786049134402174,-0.9568680687290548,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6520,1,0,0,0,-1.2373497558353077,1,0,0,0,1,0,0,1,1,0.7019654546337724,-0.9311586095300661,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1507,1,0,0,0,0.8820537310869759,1,0,1,1,1,1,1,1,0,-1.494554947468856,-0.5604312921345403,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1915,1,0,0,0,-0.34067904982972624,1,0,0,0,0,1,0,0,1,-0.4510418561376223,-0.445476743633836,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4332,0,0,1,1,0.8820537310869759,1,1,1,0,0,1,0,0,0,-0.1557392643141572,0.4376552965631241,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
549,1,0,0,0,-0.7074988841047369,1,0,1,1,1,1,1,1,0,-1.4912369408191541,-0.8675789186575035,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1728,0,0,0,0,0.5152338968119653,1,0,1,0,1,1,1,1,0,0.5626091753462948,0.5895548005708582,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4728,1,0,0,0,0.5559916561758553,0,0,1,0,1,1,0,0,0,-0.8774057106243108,-0.23145155415810903,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4628,0,0,1,0,-0.8297721621964071,1,0,1,0,0,1,0,0,0,-0.34818364999686474,-0.7006326617509611,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
296,0,0,1,1,1.5749356402731072,1,0,0,0,1,0,0,0,0,0.37680080296299057,1.3904694442548577,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5559,0,0,0,0,-0.789014402832517,0,0,0,1,0,0,0,0,1,-1.0963941495046334,-0.8330573054914236,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6257,0,1,0,0,-1.2781075151991979,1,0,0,1,0,0,0,0,1,0.27560160014708407,-0.9727079154849011,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4763,0,0,1,1,1.0450847685425362,1,0,0,1,1,0,1,0,1,0.8910918336667782,1.4236031431711205,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4995,0,0,0,0,-1.0335609590158574,1,1,0,0,0,0,0,0,1,0.3452797397908229,-0.7612382506596306,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6656,1,0,1,1,0.6375071749036355,1,1,1,1,1,1,1,1,0,-1.3651526881304838,-0.4878852346004623,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3548,1,0,0,0,1.5749356402731072,1,1,1,0,0,1,0,1,0,1.0934902392985917,1.9418459179757528,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3024,1,0,0,1,-0.9520454402880774,1,0,1,1,1,1,1,1,0,-1.4696698975960922,-0.9237564001977097,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6847,0,0,1,1,-0.5852256060130667,1,0,0,0,0,0,1,0,0,-0.2901185336270823,-0.5277822616864676,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
100,1,0,0,0,-1.2781075151991979,1,0,1,1,1,1,1,1,0,-1.4763059108954957,-0.9959720019580219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
